rating,likes,response,rating_label,cleaned_snippet
5.0,2,,positive,love game fun story quest love game scenery character small issue lag mobile user understandable good game play deserve star rating help people understand thing real life recommend play
1.0,32,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': 'We sincerely apologize for this issue, Traveler. Please send us an email or contact Customer Service via in-game feedback for specific help with this issue.', 'date': 'October 21, 2024', 'iso_date': '2024-10-21T09:37:59Z'}",negative,insane boring dialogue skip add skip button seriously literal gameplay min dialogue min listen boring talk tap screen life skip dialogue add skip button
5.0,0,,positive,finally hoyo start listen player lot qol change focus have fun spend time repetitive nonsense like daily abyss run shorter afford generous freebie consider game make deserve star fun natlan far qol change screw thing
5.0,0,,positive,tho play old budget phone game beautiful loading kinda fast new update love change suddenly app get crash little time try reinstall result focus low end device like give opt change rendering distance smth like
4.0,0,,positive,game pretty good downside big game load hard player currency game game beautiful interesting deep plot wish little easy overall
4.0,0,,positive,easy story character puzzle sooo good thing hate lack free reward compare game game feel soo dry lazy player like force grind character want community good player toxic
1.0,54,"{'title': 'COGNOSPHERE PTE. LTD.', 'snippet': 'Thank you for your constant support of Genshin Impact. We welcome any valuable input from you. If you have any comments or suggestions you would like to share, please feel free to contact our Customer Service team via the in-game feedback channel or email to help us improve the game.', 'date': 'August 18, 2022', 'iso_date': '2022-08-18T09:22:23Z'}",negative,update oct not use google point pc purchase battle pass update save wish week not banner character game overall fun limited grind character wish expensive limitation gatcha game probably friend end play long period time original like needy controller support droid user
5.0,2,,positive,dear hoyoverse enjoy game fun lot puzzle deal mention boss enemy love character story hope mic party talk texte friend fun speak friend game
4.0,0,,positive,play game release multiple device edit game multiple time game amazing open world amazing character black character skin color light tone npc yes game good fix character actually need melanin
5.0,0,,positive,time addict game like perfeeect quality game character music view quest world animation literally awesome highly highly recommend game d
4.0,3,,positive,bad experience old phone z fold amazing usually play pc phone wish file phone allow change controll use wireless keyboard mouse fold fun accept control currently not recognize available control game reason try racing game wasd control work
5.0,0,,positive,bro tell like game good play graphic story well people take storage developer solve problem delete old quest helpful low end device
4.0,0,,positive,want world popular game add player vs player function want kill beast monster bcz boring fight againt monster game animation fighting system u add player vs player function boom game week want fair fight s possible fight againt real player add function meed change enable pvp game player fight
4.0,12,,positive,good graphic experience task interesting excellent know phone problem game problem new phone large storage space week open game open show game bug check thing awesome
2.0,1,,negative,fun game take way storage nice skip dialogue not problem mean nice primogem easy s
2.0,8,,negative,new reward story quest long dialouge option character story quest character main random npc waste hour quest feature banner unit basic npc reward give exploration story quest drivel aside archon quest way alt tab random option dialouge force input infuriating
5.0,0,,positive,honestly hate game cringe player stuff bad actualy quest stuff keep motivated play literaly get rank în day discoverd like part map
5.0,14,,positive,genshin impact completely redefine expect open world rpg stunning visual pair expansive world life moment game feel like work art character design gorgeous feel unique personality combat style offer endless possibility team composition
5.0,1,,positive,nice game buy welkin week hu tao fund see game think graphic fake game truly amaze music character scenery thank wonderful game hoyoverse truly life well happy natlan update believe play game year genshin truly life well
5.0,1,,positive,m wait forever start long update omg long conversation sooo stupid enemy impossible defeat screen unstable specially compat bcz camera ancle unstable difficult compat game soooo f king stressfull waste time
4.0,0,,positive,star bug accure world quest pop bring near impossible puzzle solve right start want clear quest list like organized person like thing chapter v natlan archon quest chapter l liyue reach chapter iv fontaine dock occupy quest natlan goodbye fontaine enter
4.0,0,,positive,play genshin year laptop problem recently get new phone hv alt acc europe server tend switch account switch europe server need download extra resource download europe server automatically download asia server main acc download new quest wait download
1.0,0,,negative,like game graphic laggy chance get star charcater low begginer pkayer spend primogem end waste suggest increase character drop release star character that
3.0,1,,negative,omg nice game great animation amazing character leisurely nature sound like omg saurrrrr gooood suddenly today october genshin impact stop say genshin impact close app bug try update app developer provide fix error s fix asap nahida bday quest complete quest pleaseeee fix asap great game tbh give error
3.0,2,,negative,right date gameplay voice character dialog lazy add company make billion deliver voice line recommend game beautiful ton content definitely like care little game
5.0,3,,positive,love game character design beautiful story amazing world stunning issue run mobile take space amazing game
5.0,360,,positive,play game year experience player go gameplay good easy understand elemental reaction easy remember accommodate storyline plot good character pretty write love detail people know experience glitch fix time overall highly recommend game fun great time pass bored
4.0,5,,positive,anime inspire game play fine care individual wish free play open chest quest end basically character design nice diversity especially skin tone well pay expensive afford feel sad get character like
2.0,1,,negative,problem message come insufficient storage enter load datum message keep pop say storage try leave relogge work
3.0,2,,negative,understand character late archon quest birthday celebration anecdote voiceless awkward embarrassing paimon have voice time hope hoyoverse change future normalize issue sure player amuse
5.0,0,,positive,use fix artifact system rng overall game solid character story fantastic music life change combat varied flexible exploration fun plus get ton qol improvement year great thing well
5.0,0,,positive,game good addicted explore play friend lot go game wish add feature like edit traveler look think game stand
5.0,1,,positive,amazing absolutely adore genshin impact start play month ago completely obsess storyline game play graphic character reward etc fantastic fact go create account replay game beginning actually know wish game forever look play game similar good genshin thank hoyoverse gem
1.0,56,,negative,stay away game yrs come end worth find today grind character weapon artifact talent need money area room require resin level drop item guarantee defeat boss sad bcuz pride play game end worth game
